法政備審 Checklist（CV、自傳與文字作品） v2,,,,,,
法政備審要看得出一條專業軌跡：修課、文字作品與實務經歷指向同一個方向。,,,,,,
,,,,,,
經歷盤點,時間,我實際做了什麼,用到什麼能力,與研究方向的關聯,留下什麼可查證的產出,放CV或自傳或都不放
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
容易漏掉的法政經歷,我有,,,,,
課堂研究報告與期末論文,,,,,,
小論文期刊投稿學生學術研討會發表,,,,,,
大專學生研究計畫,,,,,,
法律扶助法服社法律諮詢志工,,,,,,
法院旁聽與判決評析,,,,,,
模擬法庭辯論比賽模擬聯合國,,,,,,
國會助理議員辦公室政黨或智庫實習,,,,,,
公民團體倡議社會運動參與公共政策提案,,,,,,
政府機關實習公部門工讀,,,,,,
研究助理協助教授計畫,,,,,,
相關證照語言能力統計或資料分析訓練,,,,,,
,,,,,,
學術CV十二欄位,要寫的內容,完成,,,,
1 基本資料,姓名與聯絡方式一行不要放身分證字號,,,,,
2 學歷,校系期間在校排名或GPA有優勢才寫,,,,,
3 研究興趣,一到兩行與研究計畫方向一致,,,,,
4 法政核心科目表現,具體科目與成績（憲法行政法民法刑法政治學國際關係公共政策）,,,,,
5 研究經歷,大專生計畫研究助理專題寫清楚角色與方法,,,,,
6 學術產出,小論文研討會發表投稿附完整標題,,,,,
7 課堂重要報告,挑二到三份寫題目與處理的爭點,,,,,
8 實務經歷,實習法服旁聽國會倡議寫職務與實際工作,,,,,
9 競賽與活動,模擬法庭辯論模擬聯合國寫層級與名次,,,,,
10 語言與方法能力,外語程度統計軟體資料庫檢索能力,,,,,
11 獎項與獎學金,名稱頒發單位年份,,,,,
12 附件索引,代表作清單與對應頁碼,,,,,
,,,,,,
每段經歷該寫出的七件事,是否寫到,,,,,
我在什麼脈絡下做這件事,,,,,,
我的角色與職責（是我做了什麼不是團隊做了什麼）,,,,,,
具體處理的爭點案件類型或政策議題,,,,,,
使用的方法或工具,,,,,,
可量化的規模（幾件幾週幾人幾份文件）,,,,,,
產出了什麼（報告備忘錄分析提案）,,,,,,
這段經歷讓我看見什麼問題,,,,,,
,,,,,,
自傳四要素,是否寫到,,,,,
研究興趣如何形成,,,,,,
轉折點：原本以為什麼後來發現什麼,,,,,,
能力累積：修課方法語言實務,,,,,,
為什麼必須在研究所裡處理這個問題,,,,,,
,,,,,,
應該壓縮或刪掉的,是否處理,,,,,
家庭背景,,,,,,
與研究方向無關的社團與課外活動,,,,,,
空泛的人格特質形容,,,,,,
已在CV條列過的事實清單,,,,,,
,,,,,,
三份文件一致性,任務,時態,我的版本是否守住,,,
CV,證明你做過什麼客觀事實,過去,,,,
自傳,說明研究動機怎麼形成軌跡,過去到現在,,,,
研究計畫,說明未來要處理什麼問題規劃,未來,,,,
,,,,,,
一致性檢核,是否確認,,,,,
三份文件指向同一個研究方向沒有互相矛盾,,,,,,
同一件事沒有在三份文件裡各講一次,,,,,,
研究計畫的題目在CV與自傳裡找得到來源,,,,,,
實務經歷已提煉成發現問題與法理推導的能力證據,,,,,,
所有可查證的事實與正式文件一致,,,,,,
,,,,,,
送件前最後五問,是否確認,,,,,
陌生教授只讀這三份文件能說出我要研究什麼憑什麼,,,,,,
最強的三段經歷出現在最容易被看見的位置,,,,,,
沒有任何一句話是口試時答不出細節的,,,,,,
檔案命名頁碼目錄格式符合各校簡章要求,,,,,,
推薦信的老師手上有這三份文件的最新版本,,,,,,

常見失分點自我對照,是否已排除,,,,,
經歷列成清單，看不出一條專業軌跡,,,,,,
法服、實習與旁聽只寫參與，沒有寫處理過什麼爭議,,,,,,
CV 把課程報告寫成研究成果,,,,,,
自傳寫成成長故事，沒有連到研究問題,,,,,,
核心科目的成績弱項完全不提,,,,,,
三份文件指向不同的次領域,,,,,,

送出前檢核,是否確認,,,,,
經歷排出了一條專業軌跡，不是清單,,,,,,
法服、實習與旁聽都寫出了處理過什麼爭議,,,,,,
CV 沒有把課程報告寫成研究成果,,,,,,
自傳連得到研究問題，不是成長故事,,,,,,
核心科目的弱項有主動說明,,,,,,
三份文件指向同一個次領域,,,,,,
