口試與作品講評檢核表（設計傳播研究所） v2,,,,,
設計口試要講清楚作品與研究問題的關係，而不是介紹作品。,,,,,
,,,,,
第一段：三分鐘作品簡報,,,,,
段落,內容,我的版本,,,
我是誰、我關心什麼,一句話定位,,,,
代表作一,在解什麼問題、我做了什麼判斷,,,,
代表作二,展現另一種方法或面向,,,,
這些作品把我帶到哪,連到研究計畫的問題,,,,
我想在這裡做什麼,研究方向一句話,,,,
全部念完在3分鐘以內（多數系所給3到5分鐘）。,,,,,
沒有背稿感、被打斷後接得回來。,,,,,
講作品時我講的是判斷、不是製作流程。,,,,,
最後一句自然接到研究計畫、不是硬轉。,,,,,
,,,,,
第二段：四類追問題庫,,,,,
,,,,,
A.作品本身,,,,,
題目,我的關鍵字,熟練度,,,
這件作品你最不滿意的地方是什麼？,,,,,
如果重做一次、你會改什麼？,,,,,
這個設計決定為什麼是這樣、不是另一種？,,,,,
這是團體作品、哪些部分真的是你做的？,,,,,
你怎麼知道這個設計有效？,,,,,
,,,,,
B.研究計畫,,,,,
題目,我的關鍵字,熟練度,,,
你的研究問題到底是什麼？用一句話說。,,,,,
這個題目為什麼值得研究？不做會怎樣？,,,,,
這跟你做一個接案作品差在哪？,,,,,
這個題目兩年做得完嗎？,,,,,
前人做過嗎？你和他們差在哪？,,,,,
,,,,,
C.方法,,,,,
題目,我的關鍵字,熟練度,,,
你打算用什麼方法？為什麼是這個？,,,,,
你要怎麼判斷這個方向不成立？,,,,,
你會怎麼記錄創作過程？,,,,,
你的樣本／對象怎麼找？,,,,,
,,,,,
D.動機與適配,,,,,
題目,我的關鍵字,熟練度,,,
為什麼是我們系、不是別的系？,,,,,
你想跟哪位老師做？為什麼？,,,,,
你畢業後想做什麼？,,,,,
你為什麼不直接去業界？,,,,,
,,,,,
第三段：面對講評,,,,,
情境,該做的,不該做的,,,
教授說某件作品沒解決問題,先確認他指的是哪一點、再說明你的取捨與限制,立刻辯解或道歉到底,,,
教授指出你沒想到的面向,承認、並說出你會怎麼補,硬掰一個當初就想過的理由,,,
教授的批評你不同意,說明你的判斷依據、同時承認那是一個選擇,沉默、或全盤接受但眼神抗拒,,,
教授問了你完全不會的,誠實說不熟、講出你會怎麼找答案,亂猜,,,
我練習過至少三句「承認但不崩潰」的句型。,,,,,
我知道被批評不等於被淘汰到到他們在測你能不能被指導。,,,,,
我不會在被指出問題時、反覆說「因為時間不夠」。,,,,,
,,,,,
第四段：口試前檢核,,,,,
作品集我自己重看過一遍、說得出每一件的年份與脈絡。,,,,,
研究計畫我能默述四大架構（問題／動機／方法／預期成果）。,,,,,
我查過在場可能的口試委員、知道他們的研究方向。,,,,,
我準備了2到3個要問系所的問題（不是查得到的資訊）。,,,,,
需要帶實體作品時、我確認過尺寸與攜帶方式。,,,,,
線上口試：網路、鏡頭、麥克風、螢幕分享都測過、作品檔案已開好。,,,,,
我知道會場位置與報到時間、預留了交通緩衝。,,,,,

常見失分點自我對照,是否已排除,,,,
介紹作品而不是說明作品與研究問題的關係,,,,,
研究問題講成一個題材或領域，不是一個問句,,,,,
說要探討使用者經驗，方法卻只有自己創作、沒有使用者參與,,,,,
答不出這個系所收學術型還是實務型，也沒說明自己走哪一條,,,,,
被問到失敗長什麼樣時答不出來——那代表是執行不是探究,,,,,
計畫談的方向在作品集裡完全看不到伏筆,,,,,

五步答題框架,作用,,,,
1 確認問題,確保答的是他問的，也替自己爭取思考時間,,,,
2 說明原始選擇,這個設計決定當初為什麼這樣做,,,,
3 解釋依據,支撐這個決定的觀察、使用者回饋或參考案例,,,,
4 承認限制,這個做法確實處理不到什麼,,,,
5 提出替代,如果重做會怎麼調整，代價是什麼,,,,
