農生與環境｜備審檢核表 v2,,,,,
這個類群的備審在驗證你對變動環境與生物週期的實務掌控力，列出技術名稱是不夠的。,,,,,
,,,,,
三份文件的分工,核心任務,是否寫到位,,,
CV,證明技術、時數與成果 做過什麼、多少、產出是什麼,,,,
自傳,說明研究歷程、除錯與耐受度 為什麼做、卡在哪、怎麼判斷,,,,
研究計畫,展示未來如何延伸既有能力,,,,
,,,,,
技術與經驗盤點,項目,量（次數/時數/規模）,產出,能獨立操作,
實驗技術,,,,,
實驗技術,,,,,
田野與監測,,,,,
田野與監測,,,,,
儀器操作,,,,,
資料與統計,,,,,
生物材料,,,,,
只寫課名是最常見的失分寫法，修過實驗課不等於能獨立操作,,,,,
,,,,,
自傳 現實變數的處理案例,我的內容,,,,
發生什麼（污染/死亡/天候中斷/儀器故障/數據不符）,,,,,
我怎麼判斷原因,,,,,
我採取什麼調整,,,,,
結果與學到的事,,,,,
避免把失敗歸給運氣或他人，也避免只寫「雖然失敗但學到很多」,,,,,
,,,,,
每段經歷該寫出的六件事,說明,,,,
1 做的是什麼,技術／樣區／材料，講到可被追問的顆粒度,,,,
2 量,次數、時數、樣本數、重複數,,,,
3 我負責哪一部分,團隊成果一定要標明個人貢獻,,,,
4 卡在哪,污染、死亡、天候中斷、儀器故障、數據不符,,,,
5 怎麼判斷與排除,這一項才是委員真正在看的能力,,,,
6 產出,數據、圖表、報告、海報、競賽或共同作者,,,,
六件裡最常被漏掉的是第 3 與第 4 項，少了它們，技術清單就只是名詞,,,,,
,,,,,
成果圖表檢核,是否確認,,,,
每一張圖都能獨立看懂（標題、軸標籤、單位、樣本數、統計方法齊全）,,,,,
圖上看得到處理組與對照組,,,,,
樣區圖有尺度、樣點分布與調查時間,,,,,
團隊成果已標明哪一部分是我做的,,,,,
只挑了三到五張講得清楚的，沒有全部塞進去,,,,,
針對不同實驗室，我重新挑過一次要放哪幾張,,,,,
,,,,,
三份文件一致性檢查,是否確認,,,,
CV 上的每一項技術在自傳或成果裡找得到對應的事件,,,,,
自傳寫的研究興趣和研究計畫的題目是同一個方向,,,,,
研究計畫需要的核心技術在 CV 裡有依據,,,,,
三份放在一起讀，能形成一句話的印象,,,,,
沒有任何一項技術是我其實說不出細節的,,,,,
,,,,,
常見失分點自我對照,是否已排除,,,,
CV 只列課名，沒有量與產出,,,,,
技術寫成一串名詞，沒有任何一項講得出細節,,,,,
田調時數灌水，把交通、待命、等天氣全算進去,,,,,
自傳只有熱忱，沒有處理現實變數的具體案例,,,,,
失敗經驗歸咎運氣或他人,,,,,
成果圖表沒有對照組或缺少樣本數,,,,,
團隊成果沒有標明個人貢獻,,,,,
三份文件指向三個不同方向,,,,,
,,,,,
送出前檢核,是否確認,,,,
每一項技術都有量與產出,,,,,
至少一段完整的除錯或變數處理案例,,,,,
成果圖表挑過、標註完整、個人貢獻清楚,,,,,
三份文件指向同一條研究主軸,,,,,
備審裡的每一項我都準備好被口試追問,,,,,
