選件評分（1-5）,作品1,作品2,作品3,作品4,作品5
與主要母題的相關度,,,,,
在系列脈絡中的必要性,,,,,
完成度,,,,,
媒材與概念的契合度,,,,,
圖像品質是否足以判斷作品,,,,,
是否能支撐口試追問,,,,,
與創作計畫方向的連結,,,,,
是否顯示發展或轉折,,,,,
是否與其他選件重複,,,,,
拿掉之後脈絡會不會斷,,,,,
合計,,,,,
,,,,,
排序決定,作品名稱,它在這個位置負責什麼,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
,,,,,
每件作品說明欄位,作品內容,,,,
作品名稱,,,,,
年份,,,,,
媒材,,,,,
尺寸（時基作品為時長）,,,,,
展示方式（單張/組件/投影/現地/參與式）,,,,,
創作概念（三到五句）,,,,,
製作方法（技術層面）,,,,,
與系列的關係,,,,,
,,,,,
圖像檢核,是否確認,,,,
代表作有一組正式圖像,,,,,
沒有偏色背景雜亂或細節糊掉,,,,,
裝置與空間性作品另附環境照,,,,,
時基作品影音連結可開不需密碼不會過期,,,,,
解析度與檔案大小符合簡章規定,,,,,
,,,,,
藝術CV欄位,我的內容,,,,
Education,,,,,
Artistic Practice,,,,,
Exhibitions（個展/聯展）,,,,,
Awards,,,,,
Residencies,,,,,
Projects,,,,,
Workshops,,,,,
Publications/Artist Talks,,,,,
Technical Skills,,,,,
Curatorial/Collaboration Experience,,,,,
Selected Coursework,,,,,
,,,,,
五份文件分工,負責回答,不該做的事,是否已檢查,,
作品集,直接證明創作能力與脈絡,變成無選擇的作品全集,,,
藝術CV,呈現可查證的經歷與專業活動,混入與創作無關的經歷,,,
自傳,說明創作歷程轉折與動機,重述CV的條列內容,,,
創作研究計畫,說明未來的發展方向與方法,和既有作品完全斷裂,,,
推薦信,證明學習態度與創作潛力,只寫該生上課認真,,,
,,,,,
送件前總檢核,是否確認,,,,
作品集有清楚系列與排序且第一件立刻說明得了我在做什麼,,,,,
每件作品都有完整的八個說明欄位,,,,,
自傳呈現創作轉折而不是重述CV,,,,,
CV沒有混入無關經歷且技術能力寫得具體,,,,,
作品集與創作計畫互相支持,,,,,
四份文件講的是同一個人同一條線,,,,,
各校所頁數檔案大小與繳交格式都已符合,,,,,
推薦人已拿到作品集版本與創作計畫摘要,,,,,
