研究所推甄時程倒數與任務甘特圖 v2,,,,,,,,
你第一間的送件截止日 →,2026/10/15,,,,,,,
今天（自動帶入，不要改）,=TODAY(),,,,,,,
改 B2 的日期，下面所有日期自動重算。B3 會自動抓今天。,,,,,,,,
距今天為正＝還有幾天才要開始；為負＝已經該開始了。距送件為負＝送件前，正＝送件後。,,,,,,,,
狀態欄請填：未開始／進行中／完成。填「完成」後提醒欄會自動熄掉。,,,,,,,,
,,,,,,,,
階段,任務,建議開始,建議完成,距今天,距送件,提醒,狀態,備註
大三下 奠基,確認想讀研究所的原因，決定研究型或實務型,=$B$2-240,=$B$2-210,=C9-TODAY(),=D9-$B$2,"=IFS($H9=""完成"",""✓"",C9-TODAY()<0,""⚠ 已過建議開始日"",C9-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,這題影響研究計畫書的定位
大三下 奠基,維持大三 GPA,=$B$2-240,=$B$2-150,=C10-TODAY(),=D10-$B$2,"=IFS($H10=""完成"",""✓"",C10-TODAY()<0,""⚠ 已過建議開始日"",C10-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,大三成績是書審裡最新的一筆
大三下 奠基,列出目標科所，查招生名額、評分比例、材料要求,=$B$2-210,=$B$2-180,=C11-TODAY(),=D11-$B$2,"=IFS($H11=""完成"",""✓"",C11-TODAY()<0,""⚠ 已過建議開始日"",C11-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,一律以官網與當年度簡章為準
大三下 奠基,開始與可能寫推薦信的教授建立互動,=$B$2-210,=$B$2-120,=C12-TODAY(),=D12-$B$2,"=IFS($H12=""完成"",""✓"",C12-TODAY()<0,""⚠ 已過建議開始日"",C12-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,辦公室時間、認真修課、主動問問題
大三下 奠基,決定申請名單（建議 2-4 所，難度分層）,=$B$2-180,=$B$2-150,=C13-TODAY(),=D13-$B$2,"=IFS($H13=""完成"",""✓"",C13-TODAY()<0,""⚠ 已過建議開始日"",C13-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,不是投越多越好，難度要分層
暑假 核心,找研究室幫忙或實習,=$B$2-120,=$B$2-60,=C14-TODAY(),=D14-$B$2,"=IFS($H14=""完成"",""✓"",C14-TODAY()<0,""⚠ 已過建議開始日"",C14-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,幾週也算，可能換到更有力的推薦信
暑假 核心,研究計畫書：讀文獻、確認問題意識,=$B$2-120,=$B$2-90,=C15-TODAY(),=D15-$B$2,"=IFS($H15=""完成"",""✓"",C15-TODAY()<0,""⚠ 已過建議開始日"",C15-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,暑假是最關鍵的時間
暑假 核心,研究計畫書：完成初稿,=$B$2-90,=$B$2-60,=C16-TODAY(),=D16-$B$2,"=IFS($H16=""完成"",""✓"",C16-TODAY()<0,""⚠ 已過建議開始日"",C16-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,首要任務，不是幾天寫得完的
暑假 核心,聯繫目標指導教授（若該科所允許）,=$B$2-80,=$B$2-60,=C17-TODAY(),=D17-$B$2,"=IFS($H17=""完成"",""✓"",C17-TODAY()<0,""⚠ 已過建議開始日"",C17-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,附研究計畫書草稿
暑假 核心,整理成績單、自傳、學術 CV,=$B$2-70,=$B$2-40,=C18-TODAY(),=D18-$B$2,"=IFS($H18=""完成"",""✓"",C18-TODAY()<0,""⚠ 已過建議開始日"",C18-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,
暑假 核心,研究計畫書：請人回饋並修改,=$B$2-60,=$B$2-35,=C19-TODAY(),=D19-$B$2,"=IFS($H19=""完成"",""✓"",C19-TODAY()<0,""⚠ 已過建議開始日"",C19-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,要留得下修改的時間
大四上 送件,正式請託推薦信,=$B$2-60,=$B$2-30,=C20-TODAY(),=D20-$B$2,"=IFS($H20=""完成"",""✓"",C20-TODAY()<0,""⚠ 已過建議開始日"",C20-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,至少三週，但越早越好
大四上 送件,逐校核對格式要求,=$B$2-21,=$B$2-7,=C21-TODAY(),=D21-$B$2,"=IFS($H21=""完成"",""✓"",C21-TODAY()<0,""⚠ 已過建議開始日"",C21-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,每間格式都不一樣
大四上 送件,送件,=$B$2-7,=$B$2+0,=C22-TODAY(),=D22-$B$2,"=IFS($H22=""完成"",""✓"",C22-TODAY()<0,""⚠ 已過建議開始日"",C22-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,第二間之後的截止日另外記
大四上 口試,等書審結果與口試通知,=$B$2+0,=$B$2+21,=C23-TODAY(),=D23-$B$2,"=IFS($H23=""完成"",""✓"",C23-TODAY()<0,""⚠ 已過建議開始日"",C23-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,
大四上 口試,口試準備：口頭說明研究計畫、回應質疑,=$B$2+21,=$B$2+42,=C24-TODAY(),=D24-$B$2,"=IFS($H24=""完成"",""✓"",C24-TODAY()<0,""⚠ 已過建議開始日"",C24-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,通知到口試通常只有 2-4 週，這段要先淨空
大四上 口試,口試,=$B$2+35,=$B$2+50,=C25-TODAY(),=D25-$B$2,"=IFS($H25=""完成"",""✓"",C25-TODAY()<0,""⚠ 已過建議開始日"",C25-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,
大四上 結果,錄取結果,=$B$2+45,=$B$2+75,=C26-TODAY(),=D26-$B$2,"=IFS($H26=""完成"",""✓"",C26-TODAY()<0,""⚠ 已過建議開始日"",C26-TODAY()<=14,""● 兩週內要開始"",TRUE,"""")",,沒上還有時間準備考試
,,,,,,,,
如果距今天大量出現負數怎麼辦,,,,,,,,
時間會很趕，但不是完全沒機會。優先順序這樣排：,,,,,,,,
1 研究計畫書初稿（沒有這個其他都免談）,,,,,,,,
