README 與 Portfolio 內容規劃表,,,,
先確認每個區塊「有沒有」，再處理「好不好」。全部必填項都有內容之後再回頭優化。,,,,
,,,,
文件,區塊,必要性,重點,我的內容 / 連結
README,專案介紹（一到三句話）,必填,這個專案在解決什麼問題、給誰用的,
README,Demo 或截圖,必填,最常被忽略也最重要；評審沒時間自己把專案跑起來,
README,功能列表,必填,三到五點就夠，抓核心,
README,使用技術 Tech Stack,必填,主要語言與框架，幾個詞就夠,
README,如何安裝或使用,必填,就算只有三行指令也要寫,
README,專案背景或動機,選填但推薦,技術很多人會，問題意識是獨一無二的,
Portfolio,About Me,必填,你是誰、你的主線是什麼,
Portfolio,Projects 專案解構,必填,每個專案：問題、你的角色、做法、結果、反思,
Portfolio,Skills 能力矩陣,必填,能力要有專案佐證，不要只列名詞,
Portfolio,歷程或時間軸,選填,有主線才放，沒有的話會變流水帳,
Portfolio,聯絡方式,必填,,
