項目,內容,我的填入/完成
變數：學校,例：台大,
變數：科系A,例：化學系,
變數：科系B,例：化學工程系,
變數：常見標籤說法,你聽過的簡化說法2-4句,
變數：共同產業案例,兩系都會接觸的產業2-3個,
Stage 1,拆除模糊標籤：哪裡對、哪裡誤導、漏了什麼,
Stage 2,實際在解什麼問題：各4個以上具體問題＋共同案例分層,
Stage 3,課程→能力：10-12門核心課的訓練目的比較,
Stage 4,同一案例跨尺度：微觀到量產拆7-9層標分工,
Stage 5,四年實況：作業/實驗/數學程式/挫折點,
Stage 6,研究所與職涯：同公司不同職務的分工,
Stage 7,適合誰判斷題：12-15題情境題（偏向/原因/例外）,
Stage 8,整合：完整答案＋可執行探索方法,
查核,官方必修/課綱/教授實驗室/職缺/學長姐訪談,
查核,每項陳述標來源與日期；不足標「無法確認」不補造,
怎麼用,1. 先把上面五個「變數」填好,
怎麼用,2. 打開同名 .md 檔複製 Meta Prompt 全文,
怎麼用,3. 把變數代入後貼給 AI；照 Stage 1-8 逐段追問,
怎麼用,4. 每個 Stage 的產出填回右欄，最後用「查核」兩列驗證,
方法說明,比較兩個科系的 8 層拆法（含完整範例）,https://tbd-web.vercel.app/pages/resources/department-compare-method.html
