口試作品答辯檢核表（藝術研究所） v2,,,,,
藝術口試在確認你說得出作品從哪裡來、怎麼發展、下一步要處理什麼。,,,,,
,,,,,
題庫：作品與母題,我的答案,,,,
為什麼持續處理這個主題,,,,,
這個母題是怎麼形成的,,,,,
不同系列之間有什麼關係,,,,,
哪一件作品最能代表你為什麼,,,,,
,,,,,
題庫：媒材與形式,我的答案,,,,
為什麼使用這個媒材,,,,,
為什麼採取這種展示方式,,,,,
如果改用其他媒材會發生什麼,,,,,
技術選擇如何服務概念,,,,,
,,,,,
題庫：藝術脈絡,我的答案,,,,
你受哪些藝術家影響,,,,,
作品和哪些藝術史脈絡有關,,,,,
你怎麼區別借鑑與模仿,,,,,
你的創作與當代議題有什麼關係,,,,,
,,,,,
題庫：研究計畫,我的答案,,,,
進研究所後具體想做什麼,,,,,
為什麼需要這個系所,,,,,
計畫如何延續過去的作品,,,,,
如果作品發展不如預期怎麼辦,,,,,
,,,,,
五步答題框架,代表作1,代表作2,代表作3,,
說明作品,,,,,
指出選擇,,,,,
補充脈絡,,,,,
承認限制,,,,,
提出下一步,,,,,
,,,,,
一分鐘創作主張,秒數,我的內容,,,
我持續在處理的問題,0-15,,,,
這個問題長成什麼作品,15-35,,,,
為什麼是這個媒材與形式,35-50,,,,
接下來想深化什麼,50-60,,,,
,,,,,
作品簡報設計,是否確認,,,,
開場三十秒說清楚母題,,,,,
只選三到五件講深不講多,,,,,
每件只講一個重點,,,,,
刻意留下可以被問的空間,,,,,
結尾自然接到創作計畫,,,,,
準備一分鐘與三分鐘兩個版本,,,,,
對著不熟悉我創作的人講過一次,,,,,
,,,,,
面對不同意見的五步,做什麼,我的句型,,,
1,先確認問題把模糊批評問成具體問題,,,,
2,說明原本的選擇,,,,
3,接受合理的質疑,,,,
4,指出目前的限制,,,,
5,提出可能的修正方向,,,,
,,,,,
預想三個反對意見,教授可能質疑什麼,我的回應,,,
1,,,,,
2,,,,,
3,,,,,
,,,,,
上場前檢核,是否確認,,,,
能在一分鐘內說明創作母題,,,,,
能說明每件代表作的媒材與形式選擇理由,,,,,
能指出相關藝術家與脈絡並說明差別,,,,,
已預想三個反對意見並準備回應,,,,,
能說明研究所後的具體發展與替代路徑,,,,,
簡報有一分鐘與三分鐘兩個版本,,,,,
送件後新作準備了一到兩張圖,,,,,
若帶實體作品已確認現場條件與理由,,,,,

常見失分點自我對照,是否已排除,,,,
講作品的製作過程，但說不出它在處理什麼問題,,,,,
被問到與某位藝術家的差別時，只答得出風格不同,,,,,
母題說得出來，但舉不出兩件以上的作品當證據,,,,,
被指出作品與計畫脫節時只重述創作理念，沒有承認落差,,,,,
談媒材停在技術層次，說不出為什麼這個媒材服務這個概念,,,,,
未來創作計畫的規模，明顯超過碩士修業年限,,,,,
