Side Project 企劃與執行追蹤板,,,,,
專案開始日 →,2026/08/10,,,,
改 B2 的日期，所有目標完成日自動重排。剩餘天數為負＝已逾期。,,,,,
,,,,,
階段,任務,目標完成日,剩餘天數,狀態,卡關與筆記
Step 1 定義問題,寫下你觀察到的問題，一句話,=$B$2+3,=C6-TODAY(),,注意是問題不是解法
Step 1 定義問題,說明這個問題現在怎麼被解決、哪裡不夠好,=$B$2+5,=C7-TODAY(),,
Step 1 定義問題,確認這是別人也有的問題，不只是你自己,=$B$2+7,=C8-TODAY(),,問三個人
Step 2 定義 MVP,列出所有想做的功能，然後刪到只剩一個,=$B$2+10,=C9-TODAY(),,
Step 2 定義 MVP,寫下「做完長什麼樣」的驗收條件,=$B$2+12,=C10-TODAY(),,沒有驗收條件就不會完成
Step 2 定義 MVP,估這個 MVP 要幾天；超過兩週就再砍一次,=$B$2+14,=C11-TODAY(),,
Step 3 做第一版,完成 MVP 第一版,=$B$2+35,=C12-TODAY(),,
Step 3 做第一版,每次卡關當下就記一筆：卡在哪、怎麼解的,=$B$2+35,=C13-TODAY(),,事後補寫一定寫不出來
Step 3 做第一版,留下過程截圖或 commit 紀錄,=$B$2+35,=C14-TODAY(),,這是備審的佐證
Step 4 外部反應,找三個真實使用者試用,=$B$2+42,=C15-TODAY(),,不要只找朋友說好
Step 4 外部反應,記下他們卡住的地方，不是他們的稱讚,=$B$2+45,=C16-TODAY(),,
Step 4 外部反應,依回饋改一輪,=$B$2+52,=C17-TODAY(),,
Step 5 可展示,寫 README（用 README 公版那份）,=$B$2+56,=C18-TODAY(),,
Step 5 可展示,補一張截圖或 Demo 連結,=$B$2+58,=C19-TODAY(),,最常被略過、也最有效
Step 5 可展示,寫一段「我以為 X 但發現 Y」的反思,=$B$2+60,=C20-TODAY(),,用反思引導那份
