五步轉換：現場痛點到研究問題,要做什麼,我的內容,
1 寫下具體事件,有時間地點人行為,,
2 確認是否重複發生,不同班級時間學生身上都出現嗎,,
3 問為什麼而不是怎麼辦,怎麼辦導向方案為什麼導向研究,,
4 收斂對象與情境,哪個階段哪類學生哪種場域,,
5 確認可觀察可蒐集,我做得到的方法能取得答案嗎,,
,,,
素材來源盤點,單位對象,期間,重複出現的困惑
教學或代課,,,
課輔或陪讀,,,
輔導或諮商協助,,,
志工或營隊,,,
實習,,,
教案設計,,,
特教現場,,,
學校行政,,,
政策執行的觀察,,,
,,,
十節架構,要回答的問題,我的內容,
1 題目,看得出對象情境與焦點嗎,,
2 研究動機,這個困惑從哪個真實現場來,,
3 研究背景,這件事在台灣的脈絡是什麼,,
4 研究問題與目的,我要回答的具體問題是哪一到兩個,,
5 文獻探討,前人做到哪裡缺口在哪,,
6 研究方法,這個方法為什麼能回答我的問題,,
7 研究對象與資料蒐集,對象怎麼來資料怎麼取得,,
8 研究倫理,誰同意怎麼保護,,
9 預期貢獻,對學術與現場各有什麼意義,,
10 研究限制與時程,我知道自己的方法有什麼做不到,,
,,,
文獻探討四個必答問題,是否完成,,
這個題目在國內外被研究到哪裡主要理論取徑有哪些,,,
前人結論是否一致差異出在對象情境還是方法,,,
還缺什麼對象情境方法台灣脈絡或新政策實證,,,
我的研究補的是哪一塊,,,
,,,
方法選用對照,適合回答的問題,要考慮的事,我的選擇
量化問卷或既有資料分析,有多少哪些因素相關兩組有無差異,樣本取得量表信效度,
質性訪談,他們怎麼理解為什麼這樣決定,受訪者選取邏輯與人數依據,
課室觀察,現場實際發生什麼互動細節,進場次數記錄方式觀察者角色,
行動研究,在我的現場某種調整帶來什麼變化,需要能長期進出的現場,
個案研究,特定學生班級學校單位的深入理解,個案選取理由與資料多元性,
文件與政策分析,政策文本課綱校務資料的分析,文件取得範圍與分析架構,
,,,
工作量換算（超過一年半就收斂）,數量,,
訪談人數,,,
逐字稿小時數,,,
進場次數,,,
問卷份數,,,
是否需要跑統計,,,
,,,
研究對象取得與倫理,是否確認,,
研究對象從哪裡來,,,
需要誰同意學校家長學生本人,,,
涉及特定學校師生行政程序時間已算進時程,,,
涉及諮商個案或特教學生的保密與去識別化規劃,,,
是否需要研究倫理審查以就讀學校規範為準,,,
參與者可否中途退出資料保存與銷毀,,,
,,,
常見失分寫法,為什麼扣分,改成,
研究動機寫成教育熱忱,沒有可檢驗的問題,從具體事件寫起,
題目大到兩年做不完,可行性為零,收斂對象情境與問題數,
方法寫成教科書定義,沒有資訊量,說明在我的題目上怎麼用,
文獻逐篇摘要,看不出缺口,依議題分組並收缺口,
研究對象沒有著落,計畫執行不了,寫清楚管道與同意流程,
倫理一句話帶過,顯示沒想過現實,補上同意保密與退出機制,
,,,
送出前五個檢核,是否確認,,
研究問題來自具體的教育現場,,,
已找到核心文獻與明確的研究缺口,,,
方法真的能回答我的問題,,,
研究對象可以取得,,,
已考慮倫理與隱私問題,,,
