三份文件分工,核心任務,讀者看完該知道,
CV,列事實,我做過哪些事,
自傳,講軌跡,我是怎麼走到現在的方向,
研究計畫,寫未來,我進去之後要做什麼,
,,,
經驗盤點,單位與對象,期間與頻率,我的身分與職責
經歷1,,,
經歷2,,,
經歷3,,,
經歷4,,,
經歷5,,,
,,,
每段經歷還要寫出（分水嶺三欄）,具體處理的問題,我的判斷與作法,結果反思與指向的研究問題
經歷1,,,
經歷2,,,
經歷3,,,
經歷4,,,
經歷5,,,
,,,
教育類學術CV欄位,是否完成,,
基本資料與申請方向,,,
學歷與在校表現,,,
相關核心修課,,,
教育現場經驗,,,
輔導與諮商相關經驗（去識別化）,,,
實習經驗,,,
專題與研究經驗,,,
大專生研究計畫或補助,,,
研究方法能力（具體列）,,,
獎項與證照,,,
研習與工作坊,,,
其他技能,,,
,,,
CV寫法檢核,是否確認,,
沒有形容詞與感想,,,
每一行都有可查證的事實,,,
一到兩頁分類清楚可快速掃讀,,,
,,,
自傳三段結構,要寫什麼,我選的經歷,
第一段,最早接觸現場產生初步困惑,,
第二段,問題重複出現開始有意識觀察,,
第三段,嘗試處理或深入理解發現需要更專業訓練,,
,,,
自傳要避免的寫法,是否已避免,,
從小立志當老師的故事,,,
一整段對教育現況的抒發,,,
每段經歷平均分配篇幅,,,
用深刻體會獲益良多取代具體判斷,,,
,,,
讀書計畫系所連結,是否完成,,
想處理的問題與階段規劃,,,
想修的課與想補強的方法能力,,,
該所課程研究中心實習場域合作學校（具體名稱）,,,
需要的實務資源與取得方式,,,
哪位教授或研究中心與計畫最相關,,,
遮名字測試：遮掉系所名還能投別所嗎,,,
,,,
推薦信素材,是否完成,,
一頁摘要,,,
具體事蹟三則,,,
我的CV與研究計畫摘要,,,
時程與繳交方式,,,
學術推薦人一位加現場推薦人一位,,,
提早三到四週提出請求,,,
,,,
送件前一致性檢核,是否確認,,
三份文件各司其職沒有大段重複,,,
自傳實務經歷連成通往研究計畫的線,,,
能具體說出現場的教學痛點政策問題或輔導困境,,,
讀書計畫對準該所實務資源研究中心或教授專長,,,
能回答為什麼非這間不可,,,
空泛的熱忱陳述已刪除,,,
涉及個案或特定學生的內容全部去識別化,,,
各文件的期間單位身分一致,,,
沒有誇大身分,,,
