教育｜校所、次領域與教授比較表 v2,,,,,
順序是次領域與現場困惑→學術取向與教授→場域與制度→校所。第一層寫不出來，代表要先回到現場經驗盤點那一步。,,,,,
,,,,,
第一層：我的方向,我的答案,,,,
教育次領域（行政與政策/課程與教學/心理與諮商/特殊教育/教育科技/幼教/成人教育）,,,,,
關注的教育階段（幼兒/國小/國中/高中職/大專/成人）,,,,,
反覆出現的現場困惑,,,,,
偏研究還是偏實務,,,,,
可接受的研究方法（量化/質性/行動研究/混合）,,,,,
畢業後的方向（讀博/中小學/教育行政/諮商或特教實務）,,,,,
我能接受的修業年限與經濟負擔,,,,,
填不出來怎麼辦：先回到現場經驗盤點，選校再急也沒有用,,,,,
,,,,,
項目,系所A,系所B,系所C,系所D,系所E
學校/系所/組別,,,,,
次領域定位與教育階段,,,,,
學術取向（政策/課程/心諮/特教/科技/學習科學）,,,,,
偏理論建構還是偏現場訓練,,,,,
目標教授1：近三年研究題目與理論取徑,,,,,
目標教授2：近三年研究題目與理論取徑,,,,,
教授主要研究方法,,,,,
教授引用的學者與所屬學術社群,,,,,
教授是否有進行中的研究計畫（有計畫通常有資料、有現場、有經費）,,,,,
是否確認還收學生（名額、休假、出國或退休）,,,,,
指導方式（個別討論/讀書會或團隊/自由發展）,,,,,
合作的中小學或幼兒園現場,,,,,
研究場域是靠系所管道還是自己找,,,,,
特教鑑定與資源體系連結,,,,,
諮商與輔導實習場域（類型/數量/媒合方式）,,,,,
研究中心與長期計畫,,,,,
課程結構與實習安排（哪一年/全職或兼職）,,,,,
實務訓練是否實質延長修業年限,,,,,
修業年限現況,,,,,
經濟與工作安排的可行性,,,,,
畢業要求（論文/實習/外語/專業考試準備）,,,,,
政策與實務網絡（主管機關/局處/實務界）,,,,,
對非本科背景的支援,,,,,
近年碩士論文方向（看過幾本）,,,,,
畢業生發展（讀博/中小學/行政/諮商或特教實務）,,,,,
shortlist 定位（衝刺/把握/保底）,,,,,
與我的研究問題契合度（1-5）,,,,,
與我的方法能力契合度（1-5）,,,,,
備註,,,,,
,,,,,
陷阱檢核,是否確認,,,,
比較過同名系所在學術取向、方法訓練與實習制度上的差異,,,,,
讀過目標教授近三年研究，並判斷過方法訓練能否支持我的題目,,,,,
他很資深不代表他能帶我的題目，方法相容性已確認過,,,,,
心諮與特教的實習、修業與資格規定，已以系所公告和當年度簡章確認,,,,,
同一份計畫在不同系所會得到完全不同的評價，該所的理論偏好已確認過,,,,,
實務訓練延長修業時間的可能性，已含在經濟規劃裡算過,,,,,
,,,,,
填完後檢核,是否確認,,,,
已寫下自己的次領域、教育階段與研究問題，並用來對照系所,,,,,
了解目標教授的研究取徑與慣用方法，不只是知名度,,,,,
確認需要的研究場域在該所進得去且有管道,,,,,
看過目標教授近年指導的碩士論文,,,,,
保留三到五所，其中至少一所在場域與方法上明確可行（那是底線選項）,,,,,
,,,,,
查證管道,說明,,,,
系所公告與當年度簡章,心諮與特教的實習與資格規定一律以這裡為準，不要靠口耳相傳,,,,
臺灣博碩士論文知識加值系統,每所至少看三到五本目標教授指導的論文摘要與目次,,,,
Google 學術搜尋,查期刊論文與研究計畫；看引用了誰就知道他的學術社群,,,,
現任學生與學長姐,研究場域怎麼找、實習有幾個名額、教授多久看一次進度、論文通常寫多久,,,,
幾年前的心得文,可信度最低，法規會變,,,,
