教育口試自我檢核表（政策題、個案題與方法答辯） v2,,,,,
教育口試會追問現場：這個問題從哪裡來、方法真的答得了嗎、倫理怎麼處理。,,,,,
,,,,,
教授在確認的五件事,是否做到,,,,
對自己的研究計畫理解得夠深,,,,,
面對方法漏洞時能說清楚設計理由,,,,,
能處理教育現場的複雜情境,,,,,
遇到案例或政策題有即時反應,,,,,
面對盲點能承認限制並提出修正,,,,,
,,,,,
第一類追問：研究計畫本身,是否練過,,,,
請用一分鐘說明你的研究計畫,,,,,
你的研究問題是怎麼來的,,,,,
為什麼這個問題值得研究,,,,,
前人做過什麼你補的是哪一塊,,,,,
預期看到什麼結果如果相反呢,,,,,
,,,,,
第二類追問：研究方法,是否練過,,,,
只訪談5位老師夠嗎,,,,,
你怎麼選研究對象為什麼是這幾位,,,,,
這個方法真的能回答你的問題嗎,,,,,
研究對象怎麼取得學校會同意嗎,,,,,
涉及未成年或個案怎麼處理同意與保密,,,,,
這個規模碩士兩年做得完嗎,,,,,
,,,,,
第三類追問：教育政策與時事,是否練過,,,,
某項政策在現場的執行落差,,,,,
政策對你關注那群學生的影響,,,,,
如果你是決策者會怎麼調整,,,,,
現場老師最大的困難是什麼,,,,,
,,,,,
政策題四段練習,政策目標,現場條件,落差與可能的調整,,
議題1,,,,,
議題2,,,,,
議題3,,,,,
,,,,,
第四類追問：個案與情境題,是否練過,,,,
學生長期不交作業但每天到校,,,,,
家長不同意孩子接受特教鑑定,,,,,
個案晤談中表達強烈負面情緒,,,,,
研究對象中途退出,,,,,
,,,,,
方法答辯五步框架,句型,我的版本,,,
1 確認問題,老師的意思是還是,,,,
2 說明原始設計,我這樣設計是因為,,,,
3 提出專業依據,這個方法取向追求的是而不是,,,,
4 承認限制,這確實代表我的結論無法,,,,
5 提出補強方式,如果要提高可信度我可以,,,,
,,,,,
要避免的兩個極端,是否已避免,,,,
立刻說那我改成20位,,,,,
堅持5位就是夠,,,,,
,,,,,
個案題六步流程,要說什麼,我的練習,,,
1 界定問題,觀察到什麼還不確定什麼,,,,
2 蒐集資訊,會問誰看什麼,,,,
3 套用專業理論,發展階段學習動機家庭系統行為功能分析特教鑑定向度,,,,
4 評估風險,安全自傷受虐或需即時通報的疑慮,,,,
5 提出介入方向,具體分階段由誰執行先講第一步,,,,
6 持續修正,怎麼觀察成效何時調整或轉介,,,,
,,,,,
被問到沒準備到的問題,是否練過,,,,
先確認教授的邏輯,,,,,
誠實說明限制,,,,,
提出能推的部分,,,,,
給出補救方向,,,,,
避免硬掰沉默與過度道歉,,,,,
,,,,,
上場前檢核,是否確認,,,,
能在一分鐘內說清楚研究計畫,,,,,
說得出每一個方法選擇的理由,,,,,
知道研究最大的限制與補強方式,,,,,
準備三到五個政策議題能用四段結構講,,,,,
練過至少三題個案或情境題,,,,,
心諮特教已演練實演並回顧盲點,,,,,
說得出最近在現場看到什麼,,,,,
遇到不會的問題有固定回應順序,,,,,
備審每段經歷都能被追問細節,,,,,
,,,,,
行政準備,是否確認,,,,
時間地點報到方式與交通（線上則測設備網路）,,,,,
簡報或紙本依簡章規定準備份數確認,,,,,
備審資料重讀一遍並帶可翻閱版本,,,,,
服裝整潔以不干擾對話為原則,,,,,

常見失分點自我對照,是否已排除,,,,
研究動機講成教育熱忱，說不出具體事件,,,,,
題目大到兩年做不完，被問到縮小方案時答不出來,,,,,
方法答成教科書定義，說不出在我的題目上怎麼用,,,,,
研究對象沒有著落，管道與同意流程講不清楚,,,,,
倫理一句話帶過，沒想過同意、保密與退出機制,,,,,
被問到政策時事只表達立場，沒有連回自己的研究問題,,,,,
